task,budget,method,sample_idx,score,rep_ratio,collapsed,onset_word_idx,dispersion_cv
qmsum,0.8,ours,37,8.139534883720929,0.1901840490797546,0,36,0.4554234496884627
qmsum,0.8,ours,38,10.000000000000002,0.0,0,,0.47703920009560186
qmsum,0.8,ours,39,16.800000000000004,0.03636363636363636,0,55,0.46376116246746124
qmsum,0.8,ours,40,8.333333333333332,0.032,0,70,0.45608263374017777
qmsum,0.8,ours,41,10.75268817204301,0.045454545454545456,0,18,0.4913451449633854
qmsum,0.8,ours,42,5.1020408163265305,0.19653179190751446,0,22,0.4685831730472115
qmsum,0.8,ours,43,6.829268292682928,0.03954802259887006,0,92,0.4732575315156577
qmsum,0.8,ours,44,4.477611940298508,0.015384615384615385,0,19,0.492562775958323
qmsum,0.8,ours,45,16.037735849056602,0.07333333333333333,0,15,0.4689226685992371
qmsum,0.8,ours,46,10.975609756097562,0.07333333333333333,0,15,0.4689226685992371
qmsum,0.8,ours,47,0.0,0.0,0,,0.4617332275151454
qmsum,0.8,ours,48,7.291666666666666,0.19653179190751446,0,22,0.4685831730472115
qmsum,0.8,ours,49,10.526315789473685,0.045454545454545456,0,18,0.4913451449633854
