task,method,variant,sample_idx,score,word_rep,char_rep,collapsed
qmsum,adakv,baseline_nosink,14,19.35483870967742,0.23668639053254437,0.7651821862348178,1
qmsum,adakv,baseline_nosink,15,15.261044176706825,0.5483870967741935,0.7656108597285067,1
qmsum,adakv,baseline_nosink,16,13.872832369942198,0.27741935483870966,0.7033985581874357,1
qmsum,adakv,baseline_nosink,17,1.8691588785046724,0.8611111111111112,0.9250814332247557,1
qmsum,adakv,baseline_nosink,18,4.347826086956522,0.9444444444444444,1.0,1
qmsum,adakv,baseline_nosink,19,3.0000000000000004,0.875,0.9655172413793104,1
qmsum,adakv,baseline_nosink,20,3.2608695652173907,0.8098159509202454,0.8931068931068931,1
qmsum,adakv,baseline_nosink,21,2.1621621621621623,0.9117647058823529,0.9924487594390508,1
qmsum,adakv,baseline_nosink,22,1.197604790419162,0.7440476190476191,0.8664085188770572,1
qmsum,adakv,baseline_nosink,23,4.25531914893617,0.8975903614457831,1.0,1
qmsum,adakv,baseline_nosink,24,15.286624203821656,0.2345679012345679,0.5699588477366255,0
qmsum,adakv,baseline_nosink,25,3.428571428571429,0.9333333333333333,0.9881081081081081,1
qmsum,adakv,baseline_nosink,26,6.0606060606060606,0.8098159509202454,0.8931068931068931,1
qmsum,adakv,baseline_nosink,27,0.0,0.9431818181818182,0.9887218045112782,1
qmsum,adakv,baseline_nosink,28,3.7209302325581395,0.7891891891891892,0.8872377622377622,1
qmsum,adakv,baseline_nosink,29,23.111111111111114,0.27741935483870966,0.7033985581874357,1
qmsum,adakv,plus_sink4,0,15.172413793103445,0.0,0.30991735537190085,0
qmsum,adakv,plus_sink4,1,10.0,0.04142011834319527,0.32200188857412654,0
qmsum,adakv,plus_sink4,2,9.782608695652174,0.024691358024691357,0.29334500875656744,0
qmsum,adakv,plus_sink4,3,11.282051282051281,0.006578947368421052,0.34452975047984646,0
qmsum,adakv,plus_sink4,4,7.228915662650602,0.03870967741935484,0.33858267716535434,0
qmsum,adakv,plus_sink4,5,6.486486486486485,0.0,0.3903107861060329,0
qmsum,adakv,plus_sink4,6,8.040201005025125,0.10240963855421686,0.46369796708615685,0
qmsum,adakv,plus_sink4,7,8.641975308641976,0.0,0.2176360225140713,0
qmsum,adakv,plus_sink4,8,6.024096385542169,0.0,0.2753479125248509,0
