task,budget,method,sample_idx,score,rep_ratio,collapsed,onset,dispersion_cv,max_gap,recent500_coverage
gov_report,0.2,snapkv,10,0.39603960396039595,0.0,0,,1.5934495390058137,111.0,106
gov_report,0.2,snapkv,11,0.75046904315197,0.0,0,,1.6217399368682097,70.0,115
gov_report,0.2,snapkv,12,6.258890469416785,0.9493670886075949,1,0,1.9474445390330206,223.0,130
gov_report,0.2,snapkv,13,2.8213166144200623,0.9575757575757575,1,0,1.4729981305190922,64.0,105
gov_report,0.2,snapkv,14,0.0,0.0,0,,1.683249007586789,115.0,128
gov_report,0.2,snapkv,15,0.0,0.0,0,,1.5843500912451793,63.0,134
gov_report,0.2,snapkv,16,0.6125574272588056,0.0,0,,1.6120548522066003,55.0,143
gov_report,0.2,snapkv,17,0.6611570247933884,0.0,0,,1.5866460165376033,59.0,113
gov_report,0.2,snapkv,18,0.0,0.9797979797979798,1,1,1.3081559569182506,44.0,95
gov_report,0.2,snapkv,19,0.0,0.0,0,,1.5831279136099305,79.0,103
gov_report,0.2,snapkv,20,0.0,0.0,0,,1.5391783930669731,73.0,149
gov_report,0.2,snapkv,21,0.0,0.0,0,,1.5766888812797433,70.0,144
gov_report,0.2,snapkv,22,0.0,0.0,0,,1.5986765272005048,76.0,124
gov_report,0.2,snapkv,23,0.3875968992248062,0.0,0,,1.585449125625383,71.0,112
gov_report,0.2,snapkv,24,3.2828282828282824,0.9696969696969697,1,2,1.7128176974699267,84.0,105
gov_report,0.2,snapkv,25,7.720588235294118,0.9493670886075949,1,0,1.5294624601886035,76.0,91
gov_report,0.2,snapkv,26,0.0,0.0,0,,1.653068317758489,77.0,156
gov_report,0.2,snapkv,27,8.266666666666666,0.8870056497175142,1,11,1.6046187126021088,73.0,91
gov_report,0.2,snapkv,28,1.574803149606299,0.631578947368421,1,0,1.668873870199795,71.0,124
