task,budget,method,sample_idx,score,word_rep,char_rep,collapsed_old,collapsed_new,onset,dispersion_cv,max_gap,recent500_coverage
qmsum,0.8,pyramidkv,24,15.286624203821656,0.2345679012345679,0.5699588477366255,0,0,20,0.40884926052147746,6.0,416
qmsum,0.8,pyramidkv,25,3.428571428571429,0.9333333333333333,0.9881081081081081,1,1,2,0.41464911721819386,5.0,412
qmsum,0.8,pyramidkv,26,6.0606060606060606,0.8098159509202454,0.8931068931068931,1,1,22,0.3983753423635908,6.0,404
qmsum,0.8,pyramidkv,27,0.0,0.9431818181818182,0.9887218045112782,1,1,2,0.4048502514224925,5.0,395
qmsum,0.8,pyramidkv,28,3.7209302325581395,0.7891891891891892,0.8872377622377622,1,1,9,0.4195031376144059,6.0,404
qmsum,0.8,pyramidkv,29,23.111111111111114,0.27741935483870966,0.7033985581874357,0,1,15,0.3970585219273482,5.0,408
qmsum,0.8,pyramidkv,30,0.0,0.9192546583850931,1.0,1,1,0,0.4113372776459944,6.0,407
qmsum,0.8,pyramidkv,31,8.333333333333332,0.3496932515337423,0.6954206602768903,1,1,1,0.426153137151654,5.0,400
qmsum,0.8,pyramidkv,32,4.225352112676056,0.935064935064935,0.9859437751004017,1,1,3,0.4173221805368938,6.0,420
qmsum,0.8,pyramidkv,33,7.650273224043715,0.9389312977099237,0.9655688622754491,1,1,3,0.4328488106202999,6.0,411
qmsum,0.8,pyramidkv,34,3.896103896103896,0.8681318681318682,0.9587719298245614,1,1,12,0.3818456786979584,5.0,387
qmsum,0.8,pyramidkv,35,3.4482758620689653,0.8098159509202454,0.8931068931068931,1,1,22,0.3983753423635908,6.0,404
qmsum,0.8,pyramidkv,36,3.0769230769230775,0.8098159509202454,0.8931068931068931,1,1,22,0.3983753423635908,6.0,404
qmsum,0.8,pyramidkv,37,4.545454545454546,0.3496932515337423,0.6954206602768903,1,1,1,0.426153137151654,5.0,400
qmsum,0.8,pyramidkv,38,5.128205128205128,0.7530864197530864,1.0,1,1,21,0.42063458682958654,8.0,405
qmsum,0.8,pyramidkv,39,4.694835680751173,0.9192546583850931,1.0,1,1,0,0.4113372776459944,6.0,407
qmsum,0.8,pyramidkv,40,7.920792079207921,0.7471910112359551,0.9242579324462641,1,1,8,0.4058660441434404,6.0,393
qmsum,0.8,pyramidkv,41,0.0,0.9389312977099237,0.9655688622754491,1,1,3,0.4328488106202999,6.0,411
qmsum,0.8,pyramidkv,42,2.2727272727272725,0.9444444444444444,1.0,1,1,0,0.41452775931827596,7.0,404
qmsum,0.8,pyramidkv,43,9.574468085106384,0.48554913294797686,0.9226006191950464,1,1,23,0.4045272024240253,5.0,402
qmsum,0.8,pyramidkv,44,2.877697841726619,0.8681318681318682,0.9587719298245614,1,1,12,0.3818456786979584,5.0,387
qmsum,0.8,pyramidkv,45,12.658227848101266,0.5536723163841808,0.8057482656095144,1,1,11,0.4141578844305449,6.0,394
qmsum,0.8,pyramidkv,46,8.465608465608467,0.5536723163841808,0.8057482656095144,1,1,11,0.4141578844305449,6.0,394
qmsum,0.8,pyramidkv,47,2.285714285714286,0.702247191011236,0.9301270417422868,1,1,7,0.40744978485012956,5.0,404
qmsum,0.8,pyramidkv,48,1.1627906976744187,0.9444444444444444,1.0,1,1,0,0.41452775931827596,7.0,404
qmsum,0.8,pyramidkv,49,1.1494252873563218,0.9389312977099237,0.9655688622754491,1,1,3,0.4328488106202999,6.0,411
qmsum,0.8,adakv,0,6.329113924050632,0.702247191011236,0.9301270417422868,1,1,7,0.40744978485012956,5.0,404
qmsum,0.8,adakv,1,0.0,0.9192546583850931,1.0,1,1,0,0.4113372776459944,6.0,407
qmsum,0.8,adakv,2,4.137931034482759,0.9119496855345912,0.9883474576271186,1,1,2,0.38683000676272195,5.0,411
qmsum,0.8,adakv,3,1.9704433497536946,0.8975903614457831,1.0,1,1,6,0.4058626359425205,5.0,397
qmsum,0.8,adakv,4,3.3707865168539324,0.7471910112359551,0.9242579324462641,1,1,8,0.4058660441434404,6.0,393
qmsum,0.8,adakv,5,1.0582010582010581,0.7440476190476191,0.8664085188770572,1,1,29,0.3810522157444663,5.0,417
qmsum,0.8,adakv,6,1.1976047904191618,0.9431818181818182,0.9887218045112782,1,1,2,0.4048502514224925,5.0,395
qmsum,0.8,adakv,7,2.4844720496894412,0.875,0.9655172413793104,1,1,7,0.43658662456946584,5.0,422
qmsum,0.8,adakv,8,3.703703703703704,0.8448275862068966,0.9457221711131555,1,1,12,0.3712137483653938,4.0,405
qmsum,0.8,adakv,9,6.024096385542169,0.27741935483870966,0.7033985581874357,0,1,15,0.3970585219273482,5.0,408
